#    L    TT             EE             BB             TE          
    90    0.12435E+02    0.88806E-02    0.61509E-02   -0.25729E+00
    91    0.12075E+02    0.89299E-02    0.61438E-02   -0.25508E+00
    92    0.11721E+02    0.89757E-02    0.61339E-02   -0.25274E+00
    93    0.11372E+02    0.90178E-02    0.61212E-02   -0.25025E+00
    94    0.11028E+02    0.90563E-02    0.61058E-02   -0.24764E+00
    95    0.10690E+02    0.90913E-02    0.60878E-02   -0.24490E+00
    96    0.10357E+02    0.91226E-02    0.60671E-02   -0.24205E+00
    97    0.10029E+02    0.91504E-02    0.60439E-02   -0.23908E+00
    98    0.97066E+01    0.91746E-02    0.60183E-02   -0.23600E+00
    99    0.93899E+01    0.91953E-02    0.59902E-02   -0.23282E+00
   100    0.90789E+01    0.92124E-02    0.59598E-02   -0.22953E+00
   101    0.87736E+01    0.92261E-02    0.59271E-02   -0.22616E+00
   102    0.84740E+01    0.92363E-02    0.58921E-02   -0.22269E+00
   103    0.81803E+01    0.92430E-02    0.58550E-02   -0.21915E+00
   104    0.78924E+01    0.92462E-02    0.58158E-02   -0.21552E+00
   105    0.76106E+01    0.92460E-02    0.57744E-02   -0.21182E+00
   106    0.73347E+01    0.92424E-02    0.57311E-02   -0.20806E+00
   107    0.70650E+01    0.92353E-02    0.56859E-02   -0.20423E+00
   108    0.68014E+01    0.92249E-02    0.56388E-02   -0.20034E+00
   109    0.65440E+01    0.92111E-02    0.55898E-02   -0.19640E+00
   110    0.62929E+01    0.91939E-02    0.55391E-02   -0.19241E+00
   111    0.60482E+01    0.91734E-02    0.54867E-02   -0.18838E+00
   112    0.58098E+01    0.91495E-02    0.54327E-02   -0.18431E+00
   113    0.55776E+01    0.91225E-02    0.53771E-02   -0.18021E+00
   114    0.53516E+01    0.90922E-02    0.53200E-02   -0.17608E+00
   115    0.51318E+01    0.90587E-02    0.52616E-02   -0.17192E+00
   116    0.49181E+01    0.90221E-02    0.52018E-02   -0.16773E+00
   117    0.47103E+01    0.89824E-02    0.51408E-02   -0.16353E+00
   118    0.45086E+01    0.89397E-02    0.50786E-02   -0.15932E+00
