#    L    TT             EE             BB             TE          
    91    0.23825E+04    0.61257E+00    0.61438E-02   -0.17185E+02
    92    0.24111E+04    0.62724E+00    0.61339E-02   -0.17795E+02
    93    0.24400E+04    0.64187E+00    0.61212E-02   -0.18409E+02
    94    0.24689E+04    0.65644E+00    0.61058E-02   -0.19027E+02
    95    0.24981E+04    0.67095E+00    0.60878E-02   -0.19649E+02
    96    0.25274E+04    0.68538E+00    0.60671E-02   -0.20274E+02
    97    0.25570E+04    0.69971E+00    0.60439E-02   -0.20901E+02
    98    0.25869E+04    0.71394E+00    0.60183E-02   -0.21529E+02
    99    0.26169E+04    0.72803E+00    0.59902E-02   -0.22159E+02
   100    0.26471E+04    0.74199E+00    0.59598E-02   -0.22789E+02
   101    0.26775E+04    0.75588E+00    0.59271E-02   -0.23421E+02
   102    0.27084E+04    0.76953E+00    0.58921E-02   -0.24052E+02
   103    0.27393E+04    0.78304E+00    0.58550E-02   -0.24684E+02
   104    0.27703E+04    0.79641E+00    0.58158E-02   -0.25314E+02
   105    0.28015E+04    0.80955E+00    0.57744E-02   -0.25942E+02
   106    0.28330E+04    0.82254E+00    0.57311E-02   -0.26569E+02
   107    0.28644E+04    0.83524E+00    0.56859E-02   -0.27193E+02
   108    0.28961E+04    0.84772E+00    0.56388E-02   -0.27815E+02
   109    0.29280E+04    0.85991E+00    0.55898E-02   -0.28433E+02
   110    0.29600E+04    0.87181E+00    0.55391E-02   -0.29046E+02
   111    0.29921E+04    0.88348E+00    0.54867E-02   -0.29655E+02
   112    0.30244E+04    0.89487E+00    0.54327E-02   -0.30259E+02
   113    0.30569E+04    0.90597E+00    0.53771E-02   -0.30858E+02
   114    0.30895E+04    0.91670E+00    0.53200E-02   -0.31450E+02
   115    0.31223E+04    0.92722E+00    0.52616E-02   -0.32035E+02
   116    0.31551E+04    0.93730E+00    0.52018E-02   -0.32613E+02
   117    0.31882E+04    0.94701E+00    0.51408E-02   -0.33183E+02
   118    0.32215E+04    0.95652E+00    0.50786E-02   -0.33746E+02
   119    0.32548E+04    0.96565E+00    0.50153E-02   -0.34298E+02
   120    0.32882E+04    0.97428E+00    0.49510E-02   -0.34841E+02
   121    0.33216E+04    0.98270E+00    0.48858E-02   -0.35374E+02
   122    0.33550E+04    0.99060E+00    0.48197E-02   -0.35897E+02
   123    0.33886E+04    0.99807E+00    0.47528E-02   -0.36409E+02
   124    0.34222E+04    0.10052E+01    0.46852E-02   -0.36908E+02
   125    0.34558E+04    0.10119E+01    0.46170E-02   -0.37395E+02
   126    0.34895E+04    0.10182E+01    0.45482E-02   -0.37871E+02
   127    0.35231E+04    0.10240E+01    0.44789E-02   -0.38334E+02
   128    0.35568E+04    0.10294E+01    0.44092E-02   -0.38783E+02
   129    0.35905E+04    0.10344E+01    0.43392E-02   -0.39217E+02
   130    0.36241E+04    0.10388E+01    0.42689E-02   -0.39637E+02
