#    L    TT             EE             TE          
  1033    0.96390E+03    0.37018E+02   -0.61166E+02
  1034    0.96562E+03    0.36799E+02   -0.62108E+02
  1035    0.96734E+03    0.36576E+02   -0.63029E+02
  1036    0.96914E+03    0.36348E+02   -0.63931E+02
  1037    0.97102E+03    0.36117E+02   -0.64811E+02
  1038    0.97305E+03    0.35883E+02   -0.65670E+02
  1039    0.97515E+03    0.35645E+02   -0.66505E+02
  1040    0.97718E+03    0.35403E+02   -0.67320E+02
  1041    0.97944E+03    0.35158E+02   -0.68110E+02
  1042    0.98170E+03    0.34909E+02   -0.68880E+02
  1043    0.98404E+03    0.34657E+02   -0.69625E+02
  1044    0.98653E+03    0.34402E+02   -0.70349E+02
  1045    0.98895E+03    0.34145E+02   -0.71052E+02
  1046    0.99152E+03    0.33884E+02   -0.71727E+02
  1047    0.99417E+03    0.33620E+02   -0.72388E+02
  1048    0.99675E+03    0.33354E+02   -0.73020E+02
  1049    0.99948E+03    0.33085E+02   -0.73624E+02
  1050    0.10022E+04    0.32814E+02   -0.74207E+02
  1051    0.10050E+04    0.32539E+02   -0.74768E+02
  1052    0.10079E+04    0.32263E+02   -0.75302E+02
  1053    0.10107E+04    0.31984E+02   -0.75814E+02
  1054    0.10136E+04    0.31704E+02   -0.76304E+02
  1055    0.10165E+04    0.31422E+02   -0.76767E+02
  1056    0.10195E+04    0.31138E+02   -0.77208E+02
  1057    0.10226E+04    0.30852E+02   -0.77620E+02
  1058    0.10258E+04    0.30565E+02   -0.78011E+02
  1059    0.10289E+04    0.30276E+02   -0.78374E+02
  1060    0.10321E+04    0.29985E+02   -0.78715E+02
  1061    0.10352E+04    0.29694E+02   -0.79027E+02
  1062    0.10385E+04    0.29401E+02   -0.79318E+02
  1063    0.10416E+04    0.29108E+02   -0.79580E+02
  1064    0.10448E+04    0.28814E+02   -0.79828E+02
  1065    0.10481E+04    0.28518E+02   -0.80047E+02
  1066    0.10512E+04    0.28221E+02   -0.80237E+02
  1067    0.10546E+04    0.27925E+02   -0.80399E+02
  1068    0.10578E+04    0.27628E+02   -0.80539E+02
  1069    0.10611E+04    0.27331E+02   -0.80664E+02
  1070    0.10644E+04    0.27033E+02   -0.80761E+02
  1071    0.10676E+04    0.26736E+02   -0.80829E+02
  1072    0.10709E+04    0.26438E+02   -0.80867E+02
  1073    0.10743E+04    0.26140E+02   -0.80884E+02
  1074    0.10775E+04    0.25843E+02   -0.80879E+02
  1075    0.10808E+04    0.25545E+02   -0.80853E+02
  1076    0.10840E+04    0.25249E+02   -0.80797E+02
  1077    0.10873E+04    0.24953E+02   -0.80727E+02
  1078    0.10904E+04    0.24658E+02   -0.80613E+02
  1079    0.10936E+04    0.24363E+02   -0.80492E+02
  1080    0.10969E+04    0.24069E+02   -0.80350E+02
  1081    0.11000E+04    0.23777E+02   -0.80177E+02
  1082    0.11031E+04    0.23486E+02   -0.79983E+02
  1083    0.11062E+04    0.23195E+02   -0.79767E+02
  1084    0.11093E+04    0.22906E+02   -0.79530E+02
  1085    0.11123E+04    0.22619E+02   -0.79262E+02
  1086    0.11154E+04    0.22333E+02   -0.78988E+02
  1087    0.11184E+04    0.22050E+02   -0.78669E+02
  1088    0.11213E+04    0.21766E+02   -0.78343E+02
  1089    0.11242E+04    0.21486E+02   -0.77988E+02
  1090    0.11270E+04    0.21207E+02   -0.77625E+02
  1091    0.11299E+04    0.20930E+02   -0.77226E+02
  1092    0.11327E+04    0.20655E+02   -0.76811E+02
  1093    0.11355E+04    0.20383E+02   -0.76375E+02
  1094    0.11380E+04    0.20113E+02   -0.75923E+02
  1095    0.11408E+04    0.19846E+02   -0.75457E+02
  1096    0.11433E+04    0.19580E+02   -0.74961E+02
  1097    0.11458E+04    0.19318E+02   -0.74443E+02
  1098    0.11484E+04    0.19059E+02   -0.73910E+02
  1099    0.11508E+04    0.18802E+02   -0.73362E+02
  1100    0.11532E+04    0.18549E+02   -0.72792E+02
  1101    0.11555E+04    0.18298E+02   -0.72205E+02
  1102    0.11579E+04    0.18051E+02   -0.71598E+02
  1103    0.11601E+04    0.17806E+02   -0.70975E+02
  1104    0.11623E+04    0.17566E+02   -0.70333E+02
  1105    0.11643E+04    0.17329E+02   -0.69676E+02
  1106    0.11663E+04    0.17094E+02   -0.69002E+02
  1107    0.11683E+04    0.16864E+02   -0.68311E+02
  1108    0.11702E+04    0.16636E+02   -0.67606E+02
  1109    0.11720E+04    0.16410E+02   -0.66885E+02
  1110    0.11737E+04    0.16190E+02   -0.66149E+02
  1111    0.11753E+04    0.15974E+02   -0.65398E+02
  1112    0.11770E+04    0.15761E+02   -0.64635E+02
  1113    0.11785E+04    0.15553E+02   -0.63856E+02
  1114    0.11799E+04    0.15348E+02   -0.63065E+02
  1115    0.11814E+04    0.15148E+02   -0.62261E+02
  1116    0.11827E+04    0.14952E+02   -0.61445E+02
  1117    0.11839E+04    0.14760E+02   -0.60616E+02
  1118    0.11850E+04    0.14573E+02   -0.59775E+02
  1119    0.11862E+04    0.14390E+02   -0.58924E+02
  1120    0.11872E+04    0.14211E+02   -0.58062E+02
  1121    0.11881E+04    0.14037E+02   -0.57188E+02
  1122    0.11889E+04    0.13867E+02   -0.56305E+02
  1123    0.11896E+04    0.13702E+02   -0.55413E+02
  1124    0.11903E+04    0.13541E+02   -0.54511E+02
  1125    0.11909E+04    0.13385E+02   -0.53600E+02
  1126    0.11914E+04    0.13234E+02   -0.52682E+02
  1127    0.11918E+04    0.13087E+02   -0.51755E+02
  1128    0.11922E+04    0.12946E+02   -0.50822E+02
  1129    0.11924E+04    0.12809E+02   -0.49881E+02
  1130    0.11925E+04    0.12677E+02   -0.48934E+02
  1131    0.11926E+04    0.12550E+02   -0.47982E+02
  1132    0.11926E+04    0.12428E+02   -0.47023E+02
  1133    0.11925E+04    0.12311E+02   -0.46059E+02
  1134    0.11923E+04    0.12199E+02   -0.45091E+02
  1135    0.11920E+04    0.12091E+02   -0.44117E+02
  1136    0.11916E+04    0.11990E+02   -0.43142E+02
  1137    0.11912E+04    0.11892E+02   -0.42161E+02
  1138    0.11907E+04    0.11801E+02   -0.41178E+02
  1139    0.11901E+04    0.11714E+02   -0.40192E+02
  1140    0.11894E+04    0.11633E+02   -0.39205E+02
  1141    0.11886E+04    0.11555E+02   -0.38215E+02
  1142    0.11877E+04    0.11484E+02   -0.37224E+02
  1143    0.11867E+04    0.11417E+02   -0.36233E+02
  1144    0.11856E+04    0.11355E+02   -0.35242E+02
  1145    0.11845E+04    0.11300E+02   -0.34251E+02
  1146    0.11832E+04    0.11249E+02   -0.33260E+02
  1147    0.11819E+04    0.11203E+02   -0.32270E+02
  1148    0.11804E+04    0.11162E+02   -0.31281E+02
  1149    0.11790E+04    0.11127E+02   -0.30295E+02
  1150    0.11774E+04    0.11096E+02   -0.29311E+02
  1151    0.11758E+04    0.11071E+02   -0.28329E+02
  1152    0.11740E+04    0.11050E+02   -0.27351E+02
  1153    0.11722E+04    0.11035E+02   -0.26377E+02
  1154    0.11703E+04    0.11026E+02   -0.25405E+02
  1155    0.11683E+04    0.11021E+02   -0.24438E+02
  1156    0.11662E+04    0.11020E+02   -0.23477E+02
  1157    0.11640E+04    0.11025E+02   -0.22520E+02
  1158    0.11618E+04    0.11035E+02   -0.21569E+02
  1159    0.11596E+04    0.11050E+02   -0.20623E+02
  1160    0.11571E+04    0.11070E+02   -0.19686E+02
  1161    0.11546E+04    0.11095E+02   -0.18754E+02
  1162    0.11521E+04    0.11125E+02   -0.17830E+02
  1163    0.11494E+04    0.11160E+02   -0.16913E+02
  1164    0.11468E+04    0.11199E+02   -0.16005E+02
  1165    0.11440E+04    0.11244E+02   -0.15104E+02
  1166    0.11411E+04    0.11293E+02   -0.14213E+02
  1167    0.11382E+04    0.11347E+02   -0.13330E+02
  1168    0.11352E+04    0.11405E+02   -0.12457E+02
  1169    0.11322E+04    0.11468E+02   -0.11595E+02
  1170    0.11291E+04    0.11536E+02   -0.10741E+02
  1171    0.11259E+04    0.11608E+02   -0.98995E+01
  1172    0.11226E+04    0.11685E+02   -0.90685E+01
  1173    0.11193E+04    0.11767E+02   -0.82482E+01
  1174    0.11159E+04    0.11852E+02   -0.74399E+01
  1175    0.11125E+04    0.11941E+02   -0.66435E+01
  1176    0.11089E+04    0.12035E+02   -0.58597E+01
  1177    0.11053E+04    0.12134E+02   -0.50880E+01
  1178    0.11016E+04    0.12235E+02   -0.43292E+01
  1179    0.10980E+04    0.12343E+02   -0.35835E+01
  1180    0.10943E+04    0.12454E+02   -0.28511E+01
  1181    0.10905E+04    0.12569E+02   -0.21324E+01
  1182    0.10866E+04    0.12687E+02   -0.14276E+01
  1183    0.10826E+04    0.12810E+02   -0.73702E+00
  1184    0.10787E+04    0.12935E+02   -0.60929E-01
  1185    0.10747E+04    0.13066E+02    0.60056E+00
  1186    0.10706E+04    0.13199E+02    0.12470E+01
  1187    0.10665E+04    0.13336E+02    0.18783E+01
  1188    0.10623E+04    0.13477E+02    0.24940E+01
  1189    0.10581E+04    0.13621E+02    0.30942E+01
  1190    0.10539E+04    0.13767E+02    0.36785E+01
  1191    0.10496E+04    0.13918E+02    0.42469E+01
  1192    0.10452E+04    0.14072E+02    0.47990E+01
  1193    0.10408E+04    0.14228E+02    0.53349E+01
  1194    0.10364E+04    0.14388E+02    0.58543E+01
  1195    0.10320E+04    0.14551E+02    0.63570E+01
  1196    0.10275E+04    0.14717E+02    0.68426E+01
  1197    0.10230E+04    0.14885E+02    0.73113E+01
  1198    0.10185E+04    0.15056E+02    0.77618E+01
  1199    0.10139E+04    0.15230E+02    0.81963E+01
  1200    0.10092E+04    0.15406E+02    0.86131E+01
  1201    0.10047E+04    0.15584E+02    0.90116E+01
  1202    0.99996E+03    0.15766E+02    0.93932E+01
  1203    0.99530E+03    0.15949E+02    0.97564E+01
  1204    0.99057E+03    0.16135E+02    0.10102E+02
  1205    0.98583E+03    0.16321E+02    0.10429E+02
  1206    0.98110E+03    0.16511E+02    0.10738E+02
  1207    0.97643E+03    0.16702E+02    0.11029E+02
  1208    0.97168E+03    0.16895E+02    0.11302E+02
  1209    0.96685E+03    0.17090E+02    0.11556E+02
  1210    0.96210E+03    0.17286E+02    0.11792E+02
  1211    0.95726E+03    0.17484E+02    0.12008E+02
  1212    0.95250E+03    0.17683E+02    0.12207E+02
  1213    0.94766E+03    0.17883E+02    0.12388E+02
  1214    0.94288E+03    0.18086E+02    0.12550E+02
  1215    0.93811E+03    0.18288E+02    0.12693E+02
  1216    0.93333E+03    0.18492E+02    0.12817E+02
  1217    0.92839E+03    0.18697E+02    0.12924E+02
  1218    0.92361E+03    0.18904E+02    0.13010E+02
  1219    0.91874E+03    0.19110E+02    0.13080E+02
  1220    0.91394E+03    0.19317E+02    0.13130E+02
  1221    0.90914E+03    0.19524E+02    0.13162E+02
  1222    0.90433E+03    0.19733E+02    0.13175E+02
  1223    0.89952E+03    0.19942E+02    0.13170E+02
  1224    0.89471E+03    0.20149E+02    0.13146E+02
  1225    0.88997E+03    0.20359E+02    0.13103E+02
  1226    0.88522E+03    0.20567E+02    0.13043E+02
  1227    0.88054E+03    0.20776E+02    0.12964E+02
  1228    0.87578E+03    0.20985E+02    0.12868E+02
  1229    0.87109E+03    0.21194E+02    0.12752E+02
  1230    0.86625E+03    0.21402E+02    0.12620E+02
  1231    0.86156E+03    0.21610E+02    0.12470E+02
  1232    0.85686E+03    0.21817E+02    0.12302E+02
  1233    0.85230E+03    0.22025E+02    0.12116E+02
  1234    0.84767E+03    0.22230E+02    0.11914E+02
  1235    0.84332E+03    0.22436E+02    0.11694E+02
  1236    0.83883E+03    0.22640E+02    0.11457E+02
  1237    0.83433E+03    0.22844E+02    0.11202E+02
  1238    0.82990E+03    0.23047E+02    0.10930E+02
  1239    0.82546E+03    0.23248E+02    0.10642E+02
  1240    0.82103E+03    0.23448E+02    0.10338E+02
  1241    0.81673E+03    0.23647E+02    0.10017E+02
  1242    0.81236E+03    0.23845E+02    0.96807E+01
  1243    0.80805E+03    0.24040E+02    0.93268E+01
  1244    0.80382E+03    0.24236E+02    0.89586E+01
  1245    0.79966E+03    0.24429E+02    0.85745E+01
  1246    0.79549E+03    0.24620E+02    0.81761E+01
  1247    0.79131E+03    0.24810E+02    0.77620E+01
  1248    0.78721E+03    0.24997E+02    0.73327E+01
  1249    0.78317E+03    0.25184E+02    0.68891E+01
  1250    0.77921E+03    0.25368E+02    0.64310E+01
  1251    0.77524E+03    0.25549E+02    0.59586E+01
  1252    0.77141E+03    0.25729E+02    0.54720E+01
  1253    0.76751E+03    0.25906E+02    0.49720E+01
  1254    0.76368E+03    0.26080E+02    0.44585E+01
  1255    0.75991E+03    0.26253E+02    0.39318E+01
  1256    0.75629E+03    0.26423E+02    0.33923E+01
  1257    0.75267E+03    0.26591E+02    0.28402E+01
  1258    0.74904E+03    0.26755E+02    0.22757E+01
  1259    0.74548E+03    0.26917E+02    0.16993E+01
  1260    0.74199E+03    0.27076E+02    0.11112E+01
  1261    0.73858E+03    0.27232E+02    0.51163E+00
  1262    0.73523E+03    0.27386E+02   -0.98918E-01
  1263    0.73195E+03    0.27537E+02   -0.72046E+00
  1264    0.72867E+03    0.27685E+02   -0.13527E+01
  1265    0.72554E+03    0.27829E+02   -0.19952E+01
  1266    0.72240E+03    0.27971E+02   -0.26474E+01
  1267    0.71933E+03    0.28108E+02   -0.33094E+01
  1268    0.71634E+03    0.28245E+02   -0.39809E+01
  1269    0.71343E+03    0.28375E+02   -0.46611E+01
  1270    0.71056E+03    0.28503E+02   -0.53507E+01
  1271    0.70776E+03    0.28628E+02   -0.60484E+01
  1272    0.70502E+03    0.28749E+02   -0.67539E+01
  1273    0.70233E+03    0.28867E+02   -0.74675E+01
  1274    0.69971E+03    0.28980E+02   -0.81883E+01
  1275    0.69716E+03    0.29090E+02   -0.89156E+01
  1276    0.69467E+03    0.29197E+02   -0.96502E+01
  1277    0.69224E+03    0.29300E+02   -0.10391E+02
  1278    0.68989E+03    0.29399E+02   -0.11138E+02
  1279    0.68760E+03    0.29494E+02   -0.11890E+02
  1280    0.68538E+03    0.29586E+02   -0.12649E+02
  1281    0.68323E+03    0.29674E+02   -0.13411E+02
  1282    0.68115E+03    0.29758E+02   -0.14178E+02
  1283    0.67914E+03    0.29838E+02   -0.14950E+02
  1284    0.67720E+03    0.29914E+02   -0.15727E+02
  1285    0.67531E+03    0.29986E+02   -0.16506E+02
  1286    0.67350E+03    0.30054E+02   -0.17290E+02
  1287    0.67176E+03    0.30118E+02   -0.18075E+02
  1288    0.67009E+03    0.30177E+02   -0.18864E+02
  1289    0.66849E+03    0.30234E+02   -0.19654E+02
  1290    0.66695E+03    0.30285E+02   -0.20448E+02
  1291    0.66548E+03    0.30332E+02   -0.21242E+02
  1292    0.66408E+03    0.30374E+02   -0.22039E+02
  1293    0.66275E+03    0.30414E+02   -0.22837E+02
  1294    0.66149E+03    0.30449E+02   -0.23633E+02
  1295    0.66029E+03    0.30479E+02   -0.24431E+02
  1296    0.65916E+03    0.30507E+02   -0.25228E+02
  1297    0.65810E+03    0.30529E+02   -0.26025E+02
  1298    0.65711E+03    0.30548E+02   -0.26821E+02
  1299    0.65618E+03    0.30562E+02   -0.27617E+02
  1300    0.65532E+03    0.30571E+02   -0.28411E+02
  1301    0.65453E+03    0.30578E+02   -0.29202E+02
  1302    0.65381E+03    0.30579E+02   -0.29992E+02
  1303    0.65314E+03    0.30576E+02   -0.30779E+02
  1304    0.65254E+03    0.30570E+02   -0.31564E+02
  1305    0.65201E+03    0.30558E+02   -0.32347E+02
  1306    0.65153E+03    0.30544E+02   -0.33124E+02
  1307    0.65114E+03    0.30525E+02   -0.33898E+02
  1308    0.65080E+03    0.30501E+02   -0.34669E+02
  1309    0.65051E+03    0.30472E+02   -0.35435E+02
  1310    0.65030E+03    0.30441E+02   -0.36196E+02
  1311    0.65013E+03    0.30405E+02   -0.36952E+02
  1312    0.65006E+03    0.30366E+02   -0.37703E+02
  1313    0.65003E+03    0.30321E+02   -0.38448E+02
  1314    0.65006E+03    0.30273E+02   -0.39186E+02
  1315    0.65014E+03    0.30221E+02   -0.39919E+02
  1316    0.65029E+03    0.30164E+02   -0.40645E+02
  1317    0.65050E+03    0.30106E+02   -0.41364E+02
  1318    0.65076E+03    0.30041E+02   -0.42075E+02
  1319    0.65108E+03    0.29972E+02   -0.42779E+02
  1320    0.65145E+03    0.29900E+02   -0.43475E+02
  1321    0.65187E+03    0.29825E+02   -0.44164E+02
  1322    0.65235E+03    0.29745E+02   -0.44844E+02
  1323    0.65288E+03    0.29661E+02   -0.45514E+02
  1324    0.65347E+03    0.29574E+02   -0.46177E+02
  1325    0.65411E+03    0.29483E+02   -0.46830E+02
  1326    0.65480E+03    0.29388E+02   -0.47474E+02
  1327    0.65553E+03    0.29291E+02   -0.48108E+02
  1328    0.65632E+03    0.29189E+02   -0.48731E+02
  1329    0.65715E+03    0.29084E+02   -0.49345E+02
  1330    0.65803E+03    0.28974E+02   -0.49949E+02
  1331    0.65896E+03    0.28862E+02   -0.50541E+02
  1332    0.65993E+03    0.28746E+02   -0.51123E+02
  1333    0.66094E+03    0.28627E+02   -0.51693E+02
  1334    0.66200E+03    0.28505E+02   -0.52253E+02
  1335    0.66309E+03    0.28379E+02   -0.52800E+02
  1336    0.66424E+03    0.28250E+02   -0.53335E+02
  1337    0.66542E+03    0.28117E+02   -0.53859E+02
  1338    0.66663E+03    0.27982E+02   -0.54370E+02
  1339    0.66789E+03    0.27843E+02   -0.54870E+02
  1340    0.66918E+03    0.27702E+02   -0.55358E+02
  1341    0.67051E+03    0.27559E+02   -0.55832E+02
  1342    0.67187E+03    0.27412E+02   -0.56294E+02
  1343    0.67326E+03    0.27261E+02   -0.56742E+02
  1344    0.67469E+03    0.27108E+02   -0.57177E+02
  1345    0.67614E+03    0.26954E+02   -0.57599E+02
  1346    0.67763E+03    0.26795E+02   -0.58008E+02
  1347    0.67915E+03    0.26635E+02   -0.58403E+02
  1348    0.68069E+03    0.26472E+02   -0.58784E+02
  1349    0.68226E+03    0.26305E+02   -0.59151E+02
  1350    0.68385E+03    0.26138E+02   -0.59504E+02
  1351    0.68548E+03    0.25967E+02   -0.59843E+02
  1352    0.68711E+03    0.25794E+02   -0.60168E+02
  1353    0.68878E+03    0.25621E+02   -0.60478E+02
  1354    0.69045E+03    0.25444E+02   -0.60774E+02
  1355    0.69216E+03    0.25265E+02   -0.61056E+02
  1356    0.69389E+03    0.25085E+02   -0.61324E+02
  1357    0.69563E+03    0.24903E+02   -0.61576E+02
  1358    0.69738E+03    0.24718E+02   -0.61812E+02
  1359    0.69914E+03    0.24532E+02   -0.62035E+02
  1360    0.70089E+03    0.24346E+02   -0.62242E+02
  1361    0.70269E+03    0.24156E+02   -0.62435E+02
  1362    0.70447E+03    0.23965E+02   -0.62611E+02
  1363    0.70626E+03    0.23773E+02   -0.62775E+02
  1364    0.70804E+03    0.23580E+02   -0.62921E+02
  1365    0.70992E+03    0.23385E+02   -0.63052E+02
  1366    0.71172E+03    0.23189E+02   -0.63169E+02
  1367    0.71352E+03    0.22991E+02   -0.63271E+02
  1368    0.71541E+03    0.22794E+02   -0.63356E+02
  1369    0.71722E+03    0.22594E+02   -0.63426E+02
  1370    0.71903E+03    0.22394E+02   -0.63482E+02
  1371    0.72085E+03    0.22193E+02   -0.63522E+02
  1372    0.72268E+03    0.21992E+02   -0.63547E+02
  1373    0.72451E+03    0.21790E+02   -0.63556E+02
  1374    0.72634E+03    0.21588E+02   -0.63550E+02
  1375    0.72817E+03    0.21384E+02   -0.63530E+02
  1376    0.73001E+03    0.21180E+02   -0.63493E+02
  1377    0.73185E+03    0.20977E+02   -0.63442E+02
  1378    0.73370E+03    0.20772E+02   -0.63376E+02
  1379    0.73548E+03    0.20569E+02   -0.63295E+02
  1380    0.73726E+03    0.20363E+02   -0.63199E+02
  1381    0.73904E+03    0.20159E+02   -0.63087E+02
  1382    0.74068E+03    0.19954E+02   -0.62960E+02
  1383    0.74247E+03    0.19750E+02   -0.62819E+02
  1384    0.74412E+03    0.19545E+02   -0.62663E+02
  1385    0.74577E+03    0.19341E+02   -0.62493E+02
  1386    0.74742E+03    0.19137E+02   -0.62307E+02
  1387    0.74901E+03    0.18934E+02   -0.62107E+02
  1388    0.75074E+03    0.18731E+02   -0.61894E+02
  1389    0.75233E+03    0.18528E+02   -0.61664E+02
  1390    0.75386E+03    0.18327E+02   -0.61423E+02
  1391    0.75546E+03    0.18126E+02   -0.61166E+02
  1392    0.75699E+03    0.17925E+02   -0.60896E+02
  1393    0.75852E+03    0.17726E+02   -0.60612E+02
  1394    0.75998E+03    0.17528E+02   -0.60315E+02
  1395    0.76145E+03    0.17330E+02   -0.60003E+02
  1396    0.76292E+03    0.17134E+02   -0.59680E+02
  1397    0.76432E+03    0.16938E+02   -0.59342E+02
  1398    0.76566E+03    0.16743E+02   -0.58992E+02
  1399    0.76699E+03    0.16551E+02   -0.58628E+02
  1400    0.76833E+03    0.16359E+02   -0.58252E+02
  1401    0.76960E+03    0.16168E+02   -0.57863E+02
  1402    0.77087E+03    0.15980E+02   -0.57463E+02
  1403    0.77208E+03    0.15793E+02   -0.57049E+02
  1404    0.77321E+03    0.15607E+02   -0.56624E+02
  1405    0.77442E+03    0.15423E+02   -0.56187E+02
  1406    0.77549E+03    0.15241E+02   -0.55739E+02
  1407    0.77648E+03    0.15060E+02   -0.55280E+02
  1408    0.77763E+03    0.14881E+02   -0.54809E+02
  1409    0.77856E+03    0.14704E+02   -0.54326E+02
  1410    0.77957E+03    0.14529E+02   -0.53834E+02
  1411    0.78051E+03    0.14356E+02   -0.53331E+02
  1412    0.78137E+03    0.14185E+02   -0.52817E+02
  1413    0.78209E+03    0.14017E+02   -0.52293E+02
  1414    0.78289E+03    0.13850E+02   -0.51759E+02
  1415    0.78362E+03    0.13686E+02   -0.51215E+02
  1416    0.78435E+03    0.13524E+02   -0.50662E+02
  1417    0.78493E+03    0.13364E+02   -0.50101E+02
  1418    0.78552E+03    0.13206E+02   -0.49529E+02
  1419    0.78604E+03    0.13051E+02   -0.48949E+02
  1420    0.78656E+03    0.12899E+02   -0.48361E+02
  1421    0.78701E+03    0.12749E+02   -0.47764E+02
  1422    0.78746E+03    0.12602E+02   -0.47160E+02
  1423    0.78777E+03    0.12457E+02   -0.46548E+02
  1424    0.78815E+03    0.12316E+02   -0.45928E+02
  1425    0.78839E+03    0.12177E+02   -0.45300E+02
  1426    0.78856E+03    0.12040E+02   -0.44666E+02
  1427    0.78880E+03    0.11907E+02   -0.44025E+02
  1428    0.78890E+03    0.11776E+02   -0.43378E+02
  1429    0.78893E+03    0.11649E+02   -0.42723E+02
  1430    0.78896E+03    0.11523E+02   -0.42064E+02
  1431    0.78891E+03    0.11401E+02   -0.41398E+02
  1432    0.78880E+03    0.11282E+02   -0.40726E+02
  1433    0.78876E+03    0.11166E+02   -0.40049E+02
  1434    0.78857E+03    0.11054E+02   -0.39367E+02
  1435    0.78832E+03    0.10944E+02   -0.38681E+02
  1436    0.78806E+03    0.10837E+02   -0.37991E+02
  1437    0.78766E+03    0.10733E+02   -0.37296E+02
  1438    0.78727E+03    0.10632E+02   -0.36598E+02
  1439    0.78679E+03    0.10535E+02   -0.35895E+02
  1440    0.78633E+03    0.10441E+02   -0.35189E+02
  1441    0.78578E+03    0.10350E+02   -0.34481E+02
  1442    0.78517E+03    0.10262E+02   -0.33770E+02
  1443    0.78449E+03    0.10178E+02   -0.33055E+02
  1444    0.78380E+03    0.10097E+02   -0.32338E+02
  1445    0.78297E+03    0.10019E+02   -0.31620E+02
  1446    0.78222E+03    0.99443E+01   -0.30899E+02
  1447    0.78124E+03    0.98734E+01   -0.30175E+02
  1448    0.78034E+03    0.98061E+01   -0.29453E+02
  1449    0.77937E+03    0.97408E+01   -0.28728E+02
  1450    0.77832E+03    0.96799E+01   -0.28003E+02
  1451    0.77728E+03    0.96225E+01   -0.27278E+02
  1452    0.77608E+03    0.95679E+01   -0.26554E+02
  1453    0.77489E+03    0.95168E+01   -0.25828E+02
  1454    0.77370E+03    0.94693E+01   -0.25102E+02
  1455    0.77244E+03    0.94247E+01   -0.24378E+02
  1456    0.77111E+03    0.93844E+01   -0.23656E+02
  1457    0.76962E+03    0.93461E+01   -0.22933E+02
  1458    0.76821E+03    0.93122E+01   -0.22213E+02
  1459    0.76673E+03    0.92811E+01   -0.21492E+02
  1460    0.76518E+03    0.92544E+01   -0.20775E+02
  1461    0.76362E+03    0.92290E+01   -0.20061E+02
  1462    0.76199E+03    0.92080E+01   -0.19349E+02
  1463    0.76022E+03    0.91905E+01   -0.18639E+02
  1464    0.75852E+03    0.91760E+01   -0.17932E+02
  1465    0.75667E+03    0.91650E+01   -0.17228E+02
  1466    0.75489E+03    0.91577E+01   -0.16528E+02
  1467    0.75297E+03    0.91532E+01   -0.15832E+02
  1468    0.75105E+03    0.91524E+01   -0.15139E+02
  1469    0.74912E+03    0.91544E+01   -0.14451E+02
  1470    0.74698E+03    0.91593E+01   -0.13767E+02
  1471    0.74498E+03    0.91686E+01   -0.13088E+02
  1472    0.74291E+03    0.91808E+01   -0.12414E+02
  1473    0.74076E+03    0.91959E+01   -0.11746E+02
  1474    0.73847E+03    0.92139E+01   -0.11082E+02
  1475    0.73624E+03    0.92348E+01   -0.10424E+02
  1476    0.73395E+03    0.92594E+01   -0.97731E+01
  1477    0.73165E+03    0.92869E+01   -0.91270E+01
  1478    0.72928E+03    0.93173E+01   -0.84876E+01
  1479    0.72691E+03    0.93514E+01   -0.78550E+01
  1480    0.72446E+03    0.93884E+01   -0.72288E+01
  1481    0.72195E+03    0.94276E+01   -0.66095E+01
  1482    0.71944E+03    0.94705E+01   -0.59973E+01
  1483    0.71687E+03    0.95163E+01   -0.53925E+01
  1484    0.71430E+03    0.95643E+01   -0.47951E+01
  1485    0.71166E+03    0.96153E+01   -0.42055E+01
  1486    0.70898E+03    0.96700E+01   -0.36236E+01
  1487    0.70627E+03    0.97261E+01   -0.30498E+01
  1488    0.70354E+03    0.97860E+01   -0.24842E+01
  1489    0.70075E+03    0.98488E+01   -0.19270E+01
  1490    0.69794E+03    0.99131E+01   -0.13784E+01
  1491    0.69509E+03    0.99804E+01   -0.83852E+00
  1492    0.69222E+03    0.10051E+02   -0.30750E+00
  1493    0.68931E+03    0.10122E+02    0.21443E+00
  1494    0.68638E+03    0.10197E+02    0.72716E+00
  1495    0.68341E+03    0.10275E+02    0.12306E+01
  1496    0.68042E+03    0.10355E+02    0.17245E+01
  1497    0.67739E+03    0.10436E+02    0.22089E+01
  1498    0.67435E+03    0.10521E+02    0.26835E+01
  1499    0.67127E+03    0.10607E+02    0.31483E+01
  1500    0.66817E+03    0.10696E+02    0.36031E+01
  1501    0.66505E+03    0.10787E+02    0.40480E+01
  1502    0.66190E+03    0.10879E+02    0.44824E+01
  1503    0.65873E+03    0.10975E+02    0.49065E+01
  1504    0.65554E+03    0.11071E+02    0.53203E+01
  1505    0.65233E+03    0.11170E+02    0.57234E+01
  1506    0.64910E+03    0.11271E+02    0.61160E+01
  1507    0.64585E+03    0.11373E+02    0.64979E+01
  1508    0.64258E+03    0.11478E+02    0.68687E+01
  1509    0.63929E+03    0.11583E+02    0.72286E+01
  1510    0.63600E+03    0.11691E+02    0.75772E+01
  1511    0.63267E+03    0.11800E+02    0.79154E+01
  1512    0.62934E+03    0.11911E+02    0.82407E+01
  1513    0.62598E+03    0.12023E+02    0.85563E+01
  1514    0.62263E+03    0.12137E+02    0.88599E+01
  1515    0.61928E+03    0.12253E+02    0.91528E+01
  1516    0.61589E+03    0.12369E+02    0.94330E+01
  1517    0.61251E+03    0.12486E+02    0.97026E+01
