#    L    TT             EE             TE          
   117    0.31835E+04    0.93803E+00   -0.33020E+02
   118    0.32170E+04    0.94758E+00   -0.33586E+02
   119    0.32505E+04    0.95676E+00   -0.34143E+02
   120    0.32841E+04    0.96544E+00   -0.34690E+02
   121    0.33176E+04    0.97390E+00   -0.35228E+02
   122    0.33513E+04    0.98186E+00   -0.35755E+02
   123    0.33850E+04    0.98939E+00   -0.36271E+02
   124    0.34188E+04    0.99656E+00   -0.36774E+02
   125    0.34525E+04    0.10033E+01   -0.37266E+02
   126    0.34864E+04    0.10097E+01   -0.37745E+02
   127    0.35202E+04    0.10155E+01   -0.38212E+02
   128    0.35539E+04    0.10211E+01   -0.38665E+02
   129    0.35878E+04    0.10261E+01   -0.39104E+02
   130    0.36216E+04    0.10306E+01   -0.39528E+02
   131    0.36554E+04    0.10347E+01   -0.39939E+02
   132    0.36893E+04    0.10384E+01   -0.40332E+02
   133    0.37230E+04    0.10416E+01   -0.40712E+02
   134    0.37568E+04    0.10444E+01   -0.41072E+02
   135    0.37905E+04    0.10467E+01   -0.41417E+02
   136    0.38241E+04    0.10485E+01   -0.41743E+02
   137    0.38577E+04    0.10498E+01   -0.42052E+02
   138    0.38911E+04    0.10507E+01   -0.42342E+02
   139    0.39244E+04    0.10512E+01   -0.42612E+02
   140    0.39577E+04    0.10511E+01   -0.42865E+02
   141    0.39908E+04    0.10505E+01   -0.43096E+02
   142    0.40238E+04    0.10495E+01   -0.43308E+02
   143    0.40568E+04    0.10481E+01   -0.43500E+02
   144    0.40896E+04    0.10462E+01   -0.43671E+02
   145    0.41222E+04    0.10439E+01   -0.43821E+02
   146    0.41549E+04    0.10410E+01   -0.43950E+02
   147    0.41872E+04    0.10378E+01   -0.44056E+02
   148    0.42194E+04    0.10341E+01   -0.44141E+02
   149    0.42515E+04    0.10300E+01   -0.44204E+02
   150    0.42833E+04    0.10255E+01   -0.44241E+02
   151    0.43149E+04    0.10206E+01   -0.44257E+02
   152    0.43463E+04    0.10152E+01   -0.44250E+02
