#    L    TT             EE             BB             TE          
    90    0.12435E+00    0.88806E-04    0.61509E-04   -0.25729E-02
    91    0.12075E+00    0.89299E-04    0.61438E-04   -0.25508E-02
    92    0.11721E+00    0.89757E-04    0.61339E-04   -0.25274E-02
    93    0.11372E+00    0.90178E-04    0.61212E-04   -0.25025E-02
    94    0.11028E+00    0.90563E-04    0.61058E-04   -0.24764E-02
    95    0.10690E+00    0.90913E-04    0.60878E-04   -0.24490E-02
    96    0.10357E+00    0.91226E-04    0.60671E-04   -0.24205E-02
    97    0.10029E+00    0.91504E-04    0.60439E-04   -0.23908E-02
    98    0.97066E-01    0.91746E-04    0.60183E-04   -0.23600E-02
    99    0.93899E-01    0.91953E-04    0.59902E-04   -0.23282E-02
   100    0.90789E-01    0.92124E-04    0.59598E-04   -0.22953E-02
   101    0.87736E-01    0.92261E-04    0.59271E-04   -0.22616E-02
   102    0.84740E-01    0.92363E-04    0.58921E-04   -0.22269E-02
   103    0.81803E-01    0.92430E-04    0.58550E-04   -0.21915E-02
   104    0.78924E-01    0.92462E-04    0.58158E-04   -0.21552E-02
   105    0.76106E-01    0.92460E-04    0.57744E-04   -0.21182E-02
   106    0.73347E-01    0.92424E-04    0.57311E-04   -0.20806E-02
   107    0.70650E-01    0.92353E-04    0.56859E-04   -0.20423E-02
   108    0.68014E-01    0.92249E-04    0.56388E-04   -0.20034E-02
   109    0.65440E-01    0.92111E-04    0.55898E-04   -0.19640E-02
   110    0.62929E-01    0.91939E-04    0.55391E-04   -0.19241E-02
   111    0.60482E-01    0.91734E-04    0.54867E-04   -0.18838E-02
   112    0.58098E-01    0.91495E-04    0.54327E-04   -0.18431E-02
   113    0.55776E-01    0.91225E-04    0.53771E-04   -0.18021E-02
   114    0.53516E-01    0.90922E-04    0.53200E-04   -0.17608E-02
   115    0.51318E-01    0.90587E-04    0.52616E-04   -0.17192E-02
   116    0.49181E-01    0.90221E-04    0.52018E-04   -0.16773E-02
   117    0.47103E-01    0.89824E-04    0.51408E-04   -0.16353E-02
   118    0.45086E-01    0.89397E-04    0.50786E-04   -0.15932E-02
   119    0.43128E-01    0.88940E-04    0.50153E-04   -0.15509E-02
   120    0.41229E-01    0.88454E-04    0.49510E-04   -0.15086E-02
   121    0.39388E-01    0.87939E-04    0.48858E-04   -0.14662E-02
   122    0.37604E-01    0.87395E-04    0.48197E-04   -0.14238E-02
   123    0.35878E-01    0.86823E-04    0.47528E-04   -0.13815E-02
   124    0.34208E-01    0.86223E-04    0.46852E-04   -0.13393E-02
   125    0.32594E-01    0.85597E-04    0.46170E-04   -0.12972E-02
   126    0.31035E-01    0.84943E-04    0.45482E-04   -0.12553E-02
   127    0.29532E-01    0.84264E-04    0.44789E-04   -0.12136E-02
   128    0.28083E-01    0.83558E-04    0.44092E-04   -0.11721E-02
   129    0.26687E-01    0.82827E-04    0.43392E-04   -0.11309E-02
   130    0.25345E-01    0.82072E-04    0.42689E-04   -0.10901E-02
   131    0.24056E-01    0.81292E-04    0.41984E-04   -0.10496E-02
   132    0.22818E-01    0.80488E-04    0.41278E-04   -0.10095E-02
   133    0.21631E-01    0.79662E-04    0.40572E-04   -0.96982E-03
   134    0.20494E-01    0.78815E-04    0.39865E-04   -0.93056E-03
   135    0.19406E-01    0.77947E-04    0.39159E-04   -0.89177E-03
   136    0.18365E-01    0.77060E-04    0.38454E-04   -0.85346E-03
   137    0.17370E-01    0.76155E-04    0.37750E-04   -0.81565E-03
   138    0.16421E-01    0.75233E-04    0.37048E-04   -0.77837E-03
   139    0.15517E-01    0.74294E-04    0.36349E-04   -0.74164E-03
   140    0.14656E-01    0.73340E-04    0.35653E-04   -0.70548E-03
   141    0.13838E-01    0.72372E-04    0.34961E-04   -0.66992E-03
   142    0.13061E-01    0.71391E-04    0.34273E-04   -0.63498E-03
   143    0.12325E-01    0.70398E-04    0.33590E-04   -0.60068E-03
   144    0.11628E-01    0.69394E-04    0.32912E-04   -0.56705E-03
   145    0.10969E-01    0.68379E-04    0.32241E-04   -0.53411E-03
   146    0.10348E-01    0.67356E-04    0.31575E-04   -0.50189E-03
   147    0.97631E-02    0.66325E-04    0.30917E-04   -0.47039E-03
   148    0.92134E-02    0.65287E-04    0.30266E-04   -0.43966E-03
   149    0.86980E-02    0.64243E-04    0.29624E-04   -0.40971E-03
   150    0.82159E-02    0.63194E-04    0.28990E-04   -0.38056E-03
   151    0.77659E-02    0.62141E-04    0.28365E-04   -0.35224E-03
   152    0.73473E-02    0.61085E-04    0.27750E-04   -0.32474E-03
   153    0.69589E-02    0.60026E-04    0.27144E-04   -0.29807E-03
   154    0.65999E-02    0.58966E-04    0.26548E-04   -0.27222E-03
   155    0.62694E-02    0.57905E-04    0.25962E-04   -0.24718E-03
   156    0.59663E-02    0.56844E-04    0.25386E-04   -0.22296E-03
   157    0.56897E-02    0.55783E-04    0.24820E-04   -0.19955E-03
   158    0.54387E-02    0.54723E-04    0.24265E-04   -0.17695E-03
   159    0.52123E-02    0.53665E-04    0.23721E-04   -0.15516E-03
   160    0.50096E-02    0.52609E-04    0.23187E-04   -0.13417E-03
   161    0.48296E-02    0.51557E-04    0.22665E-04   -0.11399E-03
   162    0.46714E-02    0.50509E-04    0.22154E-04   -0.94602E-04
   163    0.45341E-02    0.49466E-04    0.21654E-04   -0.76014E-04
   164    0.44166E-02    0.48427E-04    0.21166E-04   -0.58219E-04
   165    0.43180E-02    0.47396E-04    0.20689E-04   -0.41216E-04
